round,global_cer,global_wer,mean_client_cer,worst_client_cer,std_client_cer,round_comm_mb,cumulative_comm_mb
1,0.8013411567476949,0.9598811292719168,0.6400563202016791,0.7922077922077922,0.15610647253733873,5511.229248046875,5511.229248046875
2,0.8058116792400112,0.9494799405646359,0.47701028439604043,0.7678185745140389,0.17270457445323206,5511.229248046875,11022.45849609375
3,0.7929589270746018,0.9271916790490342,0.4553236759431618,0.7663786897048236,0.2040055663581544,5511.229248046875,16533.687744140625
4,0.7689298686784017,0.8841010401188707,0.3593281297725298,0.734341252699784,0.18996535602850192,5511.229248046875,22044.9169921875
5,0.7345627270187203,0.87518573551263,0.28666504477465055,0.383426097711812,0.06279957810325915,5511.229248046875,27556.146240234375
6,0.7052249231628946,0.8736998514115899,0.29959829973731755,0.3560115190784737,0.03935286389407622,5511.229248046875,33067.37548828125
7,0.726459905001397,0.9019316493313522,0.28688856413198854,0.35529157667386607,0.04161330582868333,5511.229248046875,38578.604736328125
8,0.7426655490360435,0.8855869242199108,0.29952022711831827,0.4550898203592814,0.08085791065418561,5511.229248046875,44089.833984375
9,0.7314892428052528,0.9019316493313522,0.26769646650662204,0.35745207173778604,0.046260955611876584,5511.229248046875,49601.063232421875
10,0.744621402626432,0.8930163447251115,0.2884206530230678,0.3852295409181637,0.05153067620857579,5511.229248046875,55112.29248046875
11,0.72282760547639,0.8766716196136701,0.24266631354931376,0.2684630738522954,0.013910883247403288,5511.229248046875,60623.521728515625
12,0.8074881251746298,0.9167904903417533,0.250862826250102,0.300077339520495,0.030888801569015262,5511.229248046875,66134.7509765625
13,0.7412685107571948,0.87518573551263,0.2591240111785195,0.3374581077597319,0.043255838360146535,5511.229248046875,71645.98022460938
14,0.7203129365744622,0.8528974739970282,0.2345499644174715,0.24551638837353124,0.005605563416794697,5511.229248046875,77157.20947265625
15,0.7560771165129925,0.9271916790490342,0.23651757158057696,0.2572665429808287,0.016428432122335548,5511.229248046875,82668.43872070312
16,0.7381950265437273,0.8900445765230312,0.23866793619618482,0.2719773137406548,0.02887251366583238,5511.229248046875,88179.66796875
17,0.7801061749091925,0.9465081723625557,0.23265841484601352,0.26097711811997526,0.021267893185167218,5511.229248046875,93690.89721679688
18,0.719195305951383,0.8811292719167905,0.20822586976223714,0.24433629803658333,0.02119145244259414,5511.229248046875,99202.12646484375
19,0.7286951662475551,0.8900445765230312,0.22251335974073175,0.28125805620005156,0.034045880696169574,5511.229248046875,104713.35571289062
20,0.7443419949706622,0.8796433878157504,0.2283481572325002,0.23997314985735863,0.011362513874019414,5511.229248046875,110224.5849609375
21,0.7018720312936575,0.8736998514115899,0.24385617159064638,0.2799127370364155,0.023128397283764823,5511.229248046875,115735.81420898438
22,0.7454596255937412,0.924219910846954,0.21561617014308734,0.24920288639033394,0.022510619234241008,5511.229248046875,121247.04345703125
23,0.728974573903325,0.8855869242199108,0.2251202383503566,0.2639704648430945,0.021086196510728537,5511.229248046875,126758.27270507812
24,0.7136071528359877,0.8796433878157504,0.22629389442195352,0.2504638218923933,0.0164439242743979,5511.229248046875,132269.501953125
25,0.7591506007264599,0.9257057949479941,0.22347355610545475,0.25479282622139765,0.019365629695311793,5511.229248046875,137780.73120117188
26,0.7077395920648226,0.8543833580980683,0.2132583393788754,0.2470213123007216,0.022243160361050063,5511.229248046875,143291.96044921875
27,0.7493713327745181,0.8900445765230312,0.2474408475490737,0.26464171840912903,0.020701534332963067,5511.229248046875,148803.18969726562
28,0.7267393126571668,0.888558692421991,0.2230820241913892,0.2560296846011132,0.018281084404184304,5511.229248046875,154314.4189453125
29,0.7619446772841576,0.9138187221396731,0.2127977227364514,0.23225373384796108,0.015928817273623167,5511.229248046875,159825.64819335938
30,0.7809443978765018,0.9227340267459139,0.2781728185818258,0.3203463203463203,0.02541213649997861,5511.229248046875,165336.87744140625
31,0.7214305671975412,0.8677563150074294,0.22358641368314885,0.24737167594310452,0.015288164821927809,5511.229248046875,170848.10668945312
32,0.7622240849399273,0.8766716196136701,0.2342919687278505,0.2714904143475572,0.01961797474262901,5511.229248046875,176359.3359375
33,0.7052249231628946,0.8826151560178306,0.22485309036431184,0.24886725960731668,0.022829691385331138,5511.229248046875,181870.56518554688
34,0.8111204246996367,0.9598811292719168,0.2588302479695528,0.285786205739218,0.01486003335267838,5511.229248046875,187381.79443359375
35,0.7588711930706902,0.9257057949479941,0.2920161719653122,0.3383117972814231,0.02958194602539993,5511.229248046875,192893.02368164062
36,0.80720871751886,0.9405646359583952,0.2712848989120269,0.33344520892767243,0.04511257026812164,5511.229248046875,198404.2529296875
37,0.7507683710533669,0.9019316493313522,0.23317617598133658,0.2733457019171305,0.02471034396216932,5511.229248046875,203915.48217773438
38,0.7110924839340598,0.8736998514115899,0.21375535389663977,0.26598422554119816,0.02891026987450079,5511.229248046875,209426.71142578125
39,0.7963118189438391,0.9465081723625557,0.2341671556904179,0.30538922155688625,0.0474787394284101,5511.229248046875,214937.94067382812
40,0.7798267672534227,0.9301634472511144,0.22642895609701327,0.27345309381237526,0.03092600522322342,5511.229248046875,220449.169921875
41,0.7734003911707181,0.9450222882615156,0.28791701549894577,0.3782435129740519,0.04887061175641787,5511.229248046875,225960.39916992188
42,0.7731209835149483,0.924219910846954,0.2408155159734134,0.2844311377245509,0.030197645448639128,5511.229248046875,231471.62841796875
43,0.7974294495669181,0.9212481426448736,0.2339612776769509,0.2857142857142857,0.03551889156029909,5511.229248046875,236982.85766601562
44,0.767532830399553,0.8989598811292719,0.23899190975724074,0.2850958565244279,0.02832156090343054,5511.229248046875,242494.0869140625
45,0.7678122380553227,0.9197622585438335,0.21357565885430613,0.23871366728509585,0.02240509307631273,5511.229248046875,248005.31616210938
46,0.7605476390053088,0.9257057949479941,0.21426352681693817,0.24451097804391217,0.019967145546052386,5511.229248046875,253516.54541015625
47,0.7837384744341995,0.9405646359583952,0.2317756499371344,0.24613481756338898,0.01336800420263012,5511.229248046875,259027.77465820312
48,0.7898854428611344,0.9494799405646359,0.25883949010040014,0.2745552977571539,0.015820472070021217,5511.229248046875,264539.00390625
49,0.7803855825649623,0.9405646359583952,0.2576405898133846,0.29156999226604796,0.018760522577618743,5511.229248046875,270050.2331542969
50,0.7236658284436993,0.888558692421991,0.24102010034378202,0.2654690618762475,0.01895615402281115,5511.229248046875,275561.46240234375
